Species,psychrophilic,mesophilic,thermophilic,aerobe,anaerobe,obligate aerobe,obligate anaerobe,facultative aerobe,facultative anaerobe,microaerophile,aerotolerant
Thiomonas bhubaneswarensis,0,1,0,,,,,,,,
Thiomonas intermedia,0,1,0,,,,,,,,
Thiomonas delicata,0,1,0,,,,,,,,
Carnimonas nigrificans,0,1,0,,,,,,,,
Proteus terrae,0,1,0,,,,,,,,
Proteus vulgaris,0,1,0,,,,,,,,
Proteus penneri,0,1,0,,,,,,,,
Proteus mirabilis,0,1,0,,,,,,,,
Proteus alimentorum,0,1,0,,,,,,,,
Proteus columbae,1,1,0,,,,,,,,
Robbsia andropogonis,0,1,0,,,,,,,,
Microbispora corallina,0,1,0,,,,,,,,
Paramaledivibacter caminithermalis,0,1,0,0,2,0,0,0,0,0,0
Acetonema longum,1,0,0,,,,,,,,
Aliiroseovarius sediminilitoris,0,1,0,3,0,0,0,0,0,0,0
Aliiroseovarius crassostreae,0,1,0,,,,,,,,
Niabella yanshanensis,0,1,0,,,,,,,,
Niabella drilacis,0,1,0,2,0,0,0,0,0,0,0
Niabella soli,0,1,0,,,,,,,,
Niabella aurantiaca,0,1,0,,,,,,,,
Monaibacterium marinum,0,1,0,,,,,,,,
Kineosphaera limosa,1,1,0,,,,,,,,
Tepidanaerobacter syntrophicus,0,1,0,0,2,0,0,0,0,0,0
Mucinivorans hirudinis,0,0,1,,,,,,,,
Beijerinckia mobilis,0,1,0,,,,,,,,
Marinovum algicola,0,0,1,,,,,,,,
Citrobacter portucalensis,1,0,0,,,,,,,,
Citrobacter europaeus,0,1,1,,,,,,,,
Citrobacter pasteurii,1,1,1,,,,,,,,
Citrobacter sedlakii,0,1,0,,,,,,,,
Citrobacter farmeri,0,1,0,,,,,,,,
Citrobacter werkmanii,0,1,0,,,,,,,,
Citrobacter youngae,0,1,0,,,,,,,,
Citrobacter rodentium,0,1,0,,,,,,,,
Citrobacter braakii,0,1,0,2,0,0,0,0,0,0,0
Citrobacter koseri,0,1,0,,,,,,,,
Citrobacter freundii,0,1,0,,,,,,,,
Citrobacter amalonaticus,0,1,0,,,,,,,,
Asanoa hainanensis,0,1,0,,,,,,,,
Asanoa ishikariensis,0,1,0,,,,,,,,
Azohydromonas lata,0,1,0,,,,,,,,
Pusillimonas caeni,0,1,0,,,,,,,,
Pusillimonas soli,1,1,1,,,,,,,,
Pusillimonas noertemannii,0,1,0,,,,,,,,
Desulfotomaculum nigrificans,0,1,0,,,,,,,,
Nocardiopsis alkaliphila,0,1,0,,,,,,,,
Nocardiopsis flavescens,0,1,0,,,,,,,,
Nocardiopsis sinuspersici,0,1,0,,,,,,,,
Nocardiopsis sinuspersici,0,1,0,2,0,0,0,0,0,0,0
Nocardiopsis potens,0,1,0,2,0,0,0,0,0,1,0
Nocardiopsis kunsanensis,0,1,0,2,0,0,0,0,0,0,0
Nocardiopsis valliformis,0,1,0,,,,,,,,
Nocardiopsis ganjiahuensis,0,1,0,,,,,,,,
Nocardiopsis chromatogenes,0,1,0,2,0,0,0,0,0,0,0
Nocardiopsis gilva,0,1,0,2,0,0,0,0,0,0,0
Nocardiopsis salina,0,1,0,2,0,0,0,0,0,0,0
Nocardiopsis halotolerans,0,1,0,,,,,,,,
Nocardiopsis kunsanensis,0,1,0,,,,,,,,
Nocardiopsis halophila,0,1,0,,,,,,,,
Nocardiopsis trehalosi,0,1,0,,,,,,,,
Nocardiopsis synnemataformans,0,1,0,,,,,,,,
Nocardiopsis lucentensis,0,1,0,,,,,,,,
Nocardiopsis prasina,0,1,0,,,,,,,,
Nocardiopsis alba,0,1,0,,,,,,,,
Nocardiopsis listeri,0,1,0,,,,,,,,
Kandeliimicrobium roseum,0,1,0,,,,,,,,
Psychrosphaera saromensis,0,1,0,,,,,,,,
Prosthecochloris aestuarii,0,1,0,,,,,,,,
Proteiniclasticum ruminis,,,,0,2,0,0,0,0,0,0
Mahella australiensis,1,0,0,0,2,0,0,0,0,0,0
Lactobacillus apis,0,0,1,,,,,,,,
Lactobacillus bombicola,1,1,0,0,1,0,0,0,0,1,0
Lactobacillus kullabergensis,,,,0,2,0,0,0,0,0,0
Lactobacillus helsingborgensis,0,1,0,0,2,0,0,0,0,0,0
Lactobacillus kimbladii,0,1,0,0,2,0,0,0,0,0,0
Lactobacillus melliventris,0,1,0,0,2,0,0,0,0,0,0
Lactobacillus hominis,0,1,0,0,0,0,0,0,1,2,0
Lactobacillus gigeriorum,0,1,0,0,0,0,0,0,1,2,0
Lactobacillus equicursoris,0,1,0,0,1,0,0,0,0,1,0
Lactobacillus taiwanensis,0,1,0,0,1,0,0,0,0,1,0
Lactobacillus kitasatonis,0,1,0,0,0,0,0,0,0,3,0
Lactobacillus ultunensis,0,1,0,0,3,0,0,0,0,0,0
Lactobacillus kalixensis,0,1,0,0,3,0,0,0,0,0,0
Lactobacillus psittaci,0,1,1,,,,,,,,
Lactobacillus iners,0,1,0,0,2,0,0,0,0,1,0
Lactobacillus amylolyticus,0,1,0,,,,,,,,
Lactobacillus gallinarum,0,1,0,,,,,,,,
Lactobacillus johnsonii,0,1,0,0,2,0,0,0,0,0,0
Lactobacillus hamsteri,0,1,0,0,2,0,0,0,0,0,0
Lactobacillus intestinalis,0,1,0,,,,,,,,
Lactobacillus pasteurii,0,1,0,0,1,0,0,0,1,1,0
Lactobacillus jensenii,0,1,1,0,1,0,0,0,0,1,0
Lactobacillus helveticus,0,1,0,0,2,0,0,0,0,2,0
Lactobacillus gasseri,0,1,0,0,1,0,0,0,0,1,0
Lactobacillus crispatus,0,1,0,0,2,0,0,0,0,1,0
Lactobacillus amylovorus,0,1,0,0,2,0,0,0,0,2,0
Lactobacillus acidophilus,0,1,0,,,,,,,,
Lactobacillus acetotolerans,0,1,0,,,,,,,,
Lactobacillus paragasseri,0,1,0,0,0,0,0,0,2,0,0
Salinicoccus kekensis,0,1,0,,,,,,,,
Salinicoccus albus,0,1,0,2,0,0,0,0,0,0,0
Salinicoccus luteus,0,1,0,2,0,0,0,0,0,0,0
Salinicoccus roseus,0,1,0,,,,,,,,
Kineobactrum sediminis,0,1,0,,,,,,,,
Desulforegula conservatrix,0,1,0,,,,,,,,
Natronoarchaeum philippinense,0,1,0,,,,,,,,
Propionicimonas paludicola,0,1,0,,,,,,,,
Desulfoluna spongiiphila,0,1,0,0,2,0,0,0,0,0,0
Frankia canadensis,0,1,0,,,,,,,,
Frankia saprophytica,0,1,0,,,,,,,,
Frankia discariae,0,1,0,,,,,,,,
Frankia inefficax,0,1,0,,,,,,,,
Frankia casuarinae,0,1,0,,,,,,,,
Frankia alni,0,1,0,,,,,,,,
Oceaniglobus indicus,0,1,0,,,,,,,,
Paraburkholderia ginsengiterrae,0,1,0,,,,,,,,
Paraburkholderia aromaticivorans,0,1,0,,,,,,,,
Paraburkholderia rhynchosiae,0,1,0,,,,,,,,
Paraburkholderia acidipaludis,0,1,0,,,,,,,,
Paraburkholderia heleia,0,1,0,,,,,,,,
Paraburkholderia ribeironis,0,1,0,,,,,,,,
Paraburkholderia ginsengiterrae,0,1,0,,,,,,,,
Paraburkholderia susongensis,0,1,0,,,,,,,,
Paraburkholderia monticola,0,1,0,,,,,,,,
Paraburkholderia insulsa,0,1,0,,,,,,,,
Paraburkholderia dilworthii,0,1,0,,,,,,,,
Paraburkholderia sartisoli,0,1,0,2,0,0,0,0,0,0,0
Paraburkholderia bryophila,0,1,0,,,,,,,,
Paraburkholderia megapolitana,0,1,0,,,,,,,,
